id,VNO,VDT,LEDGER_NAME,REPNAME,ITEMCOUNT,ITEMNO,STOCK_ITEM,BRAND,PACKING,qty,ALT_QTY,RATE,value,carton_box,CARTON_BOX_QTY,gst,hsn_code,carton,cost_price,expenses,landing_cost,cost_with_gst
13,1,2026-04-16,Tpac Packaging India Private Limited,,2.0,1.0,1000ML Sunfit Fridge Bottle,,0.0,1368.0,1368.0,44.29,36959.12,0.0,0.0,18.0,39233090,19.0,27.016900584795323,0,27.016900584795323,31.879942690058478
14,1,2026-04-16,Tpac Packaging India Private Limited,,2.0,2.0,1000ML Drench Water Bottle,,0.0,3960.0,3960.0,58.09,140322.2,0.0,0.0,18.0,39233090,55.0,35.43489898989899,0,35.43489898989899,41.81318080808081
